,,,,,,,,,,,,,,,,
S.No.,Main Services,Sub Category,Sub Category,Sub Category,Sub Category,Sub Category,Sub Category,Sub Category,Sub Category,,,,,,,
1,CONSTRUCTOR,Pre Construction Services,Interior Designing,Bulding/New construction,Remodelling/Renovating,Labour contractors,others,,,,,,,,,
2,ELECTRICIAN,Lighting and Light Fitting,"Security, Alarms, CCTV","AC, Cooler,Ceiling Fan Fitting or Repairing","Telecommunication, Data ,T.V., Phonelines Fitting","Powerpoints, Swiches & Dimmer Instalation",Electrical Fault Finding,Solar Pannels Installation,Computer & Networking,Kichen Appliances Fitting,Electrical home Inspection,Wiring Pannel & Electrical Rewiring,Inovative Light Designing,Home Theatre Design & Installation,Kichen Appliances Fitting,Electrical home Inspection,others
3,PAINTING,Wall Painting,Furniture painting,Car Painting,Home appliances Painting,others,,,,,,,,,,
4,CLEANING,Full Home Deep Cleansing,Basic home Cleansing,Kitchen Cleansing,Water tank Cleansing,Misllaneous,others,,,,,,,,,
5,PLUMBING,General Plumbing Wiring,Repairing & leakage Installation,others,,,,,,,,,,,,
6,MAID,Cook,Baby Sitter,Driver,Home Nurse,Misllaneous,others,,,,,,,,,
7,CARPENTER,Making New Furniture,Assemble /Disassemly of Existing Furniture,Varnishing/Polishing,Repair Old Furniture,General Carpentary Work,others,,,,,,,,,
8,LAUNDARY_AND_DRY_CLEANING,Wash Only,Wash and Iron,Dry Cleaning,Commercial Laundary,others,,,,,,,,,,
9,PEST_CONTROL,Residential Area,Industrial Area,Commercial Area,Others,,,,,,,,,,,
10,PACKERS_AND_MOVERS,Loading & Unloading,House Shifting,Corporate Goods Shifting,Export Packing,Machine Shifting,Car Relocation Shifting,Goods Transportation Services,others,,,,,,,
11,SALON,Male salon,Female Salon,Parlour Services at Home,Others,,,,,,,,,,,
